user_id,occurred_at,action,user_type
0.0,2014-05-06 09:30:00,sent_weekly_digest,1.0
0.0,2014-05-13 09:30:00,sent_weekly_digest,1.0
0.0,2014-05-20 09:30:00,sent_weekly_digest,1.0
0.0,2014-05-27 09:30:00,sent_weekly_digest,1.0
0.0,2014-06-03 09:30:00,sent_weekly_digest,1.0
0.0,2014-06-03 09:30:25,email_open,1.0
0.0,2014-06-10 09:30:00,sent_weekly_digest,1.0
0.0,2014-06-10 09:30:24,email_open,1.0
0.0,2014-06-17 09:30:00,sent_weekly_digest,1.0
0.0,2014-06-17 09:30:23,email_open,1.0
0.0,2014-06-24 09:30:00,sent_weekly_digest,1.0
0.0,2014-07-01 09:30:00,sent_weekly_digest,1.0
0.0,2014-07-08 09:30:00,sent_weekly_digest,1.0
0.0,2014-07-15 09:30:00,sent_weekly_digest,1.0
0.0,2014-07-22 09:30:00,sent_weekly_digest,1.0
0.0,2014-07-29 09:30:00,sent_weekly_digest,1.0
0.0,2014-07-29 09:30:35,email_open,1.0
0.0,2014-08-05 09:30:00,sent_weekly_digest,1.0
0.0,2014-08-12 09:30:00,sent_weekly_digest,1.0
0.0,2014-08-19 09:30:00,sent_weekly_digest,1.0
0.0,2014-08-19 09:30:38,email_open,1.0
0.0,2014-08-26 09:30:00,sent_weekly_digest,1.0
4.0,2014-05-06 09:30:00,sent_weekly_digest,3.0
4.0,2014-05-13 09:30:00,sent_weekly_digest,3.0
4.0,2014-05-13 09:30:34,email_open,3.0
4.0,2014-05-13 09:31:07,email_clickthrough,3.0
4.0,2014-05-20 09:30:00,sent_weekly_digest,3.0
4.0,2014-05-20 09:30:25,email_open,3.0
4.0,2014-05-20 09:31:00,email_clickthrough,3.0
4.0,2014-05-27 09:30:00,sent_weekly_digest,3.0
4.0,2014-06-03 09:30:00,sent_weekly_digest,3.0
4.0,2014-06-10 09:30:00,sent_weekly_digest,3.0
4.0,2014-06-17 09:30:00,sent_weekly_digest,3.0
4.0,2014-06-24 09:30:00,sent_weekly_digest,3.0
4.0,2014-06-24 09:30:41,email_open,3.0
4.0,2014-06-24 09:31:06,email_clickthrough,3.0
4.0,2014-07-01 09:30:00,sent_weekly_digest,3.0
4.0,2014-07-01 09:30:20,email_open,3.0
4.0,2014-07-01 09:30:41,email_clickthrough,3.0
4.0,2014-07-08 09:30:00,sent_weekly_digest,3.0
4.0,2014-07-15 09:30:00,sent_weekly_digest,3.0
4.0,2014-07-22 09:30:00,sent_weekly_digest,3.0
4.0,2014-07-29 09:30:00,sent_weekly_digest,3.0
4.0,2014-08-05 09:30:00,sent_weekly_digest,3.0
4.0,2014-08-12 09:30:00,sent_weekly_digest,3.0
4.0,2014-08-12 09:30:27,email_open,3.0
4.0,2014-08-19 09:30:00,sent_weekly_digest,3.0
4.0,2014-08-26 09:30:00,sent_weekly_digest,3.0
8.0,2014-05-06 09:30:00,sent_weekly_digest,3.0
8.0,2014-05-13 09:30:00,sent_weekly_digest,3.0
8.0,2014-05-20 09:30:00,sent_weekly_digest,3.0
8.0,2014-05-27 09:30:00,sent_weekly_digest,3.0
8.0,2014-06-03 09:30:00,sent_weekly_digest,3.0
8.0,2014-06-03 09:30:38,email_open,3.0
8.0,2014-06-10 09:30:00,sent_weekly_digest,3.0
8.0,2014-06-17 09:30:00,sent_weekly_digest,3.0
8.0,2014-06-24 09:30:00,sent_weekly_digest,3.0
8.0,2014-07-01 09:30:00,sent_weekly_digest,3.0
8.0,2014-07-08 09:30:00,sent_weekly_digest,3.0
8.0,2014-07-08 09:30:35,email_open,3.0
8.0,2014-07-15 09:30:00,sent_weekly_digest,3.0
8.0,2014-07-22 09:30:00,sent_weekly_digest,3.0
8.0,2014-07-29 09:30:00,sent_weekly_digest,3.0
8.0,2014-07-29 09:30:27,email_open,3.0
8.0,2014-07-29 09:30:53,email_clickthrough,3.0
8.0,2014-08-05 09:30:00,sent_weekly_digest,3.0
8.0,2014-08-12 09:30:00,sent_weekly_digest,3.0
8.0,2014-08-19 09:30:00,sent_weekly_digest,3.0
8.0,2014-08-26 09:30:00,sent_weekly_digest,3.0
11.0,2014-05-06 09:30:00,sent_weekly_digest,1.0
11.0,2014-05-13 09:30:00,sent_weekly_digest,1.0
11.0,2014-05-20 09:30:00,sent_weekly_digest,1.0
11.0,2014-05-27 09:30:00,sent_weekly_digest,1.0
11.0,2014-06-03 09:30:00,sent_weekly_digest,1.0
11.0,2014-06-10 09:30:00,sent_weekly_digest,1.0
11.0,2014-06-10 09:30:21,email_open,1.0
11.0,2014-06-17 09:30:00,sent_weekly_digest,1.0
11.0,2014-06-17 09:30:21,email_open,1.0
11.0,2014-06-17 09:30:53,email_clickthrough,1.0
11.0,2014-06-24 09:30:00,sent_weekly_digest,1.0
11.0,2014-07-01 09:30:00,sent_weekly_digest,1.0
11.0,2014-07-08 09:30:00,sent_weekly_digest,1.0
11.0,2014-07-08 09:30:33,email_open,1.0
11.0,2014-07-15 09:30:00,sent_weekly_digest,1.0
11.0,2014-07-22 09:30:00,sent_weekly_digest,1.0
11.0,2014-07-29 09:30:00,sent_weekly_digest,1.0
11.0,2014-07-29 09:30:37,email_open,1.0
11.0,2014-07-29 09:31:04,email_clickthrough,1.0
11.0,2014-08-05 09:30:00,sent_weekly_digest,1.0
11.0,2014-08-12 09:30:00,sent_weekly_digest,1.0
11.0,2014-08-19 09:30:00,sent_weekly_digest,1.0
11.0,2014-08-26 09:30:00,sent_weekly_digest,1.0
11.0,2014-08-26 09:30:29,email_open,1.0
17.0,2014-05-07 09:30:00,sent_weekly_digest,1.0
17.0,2014-05-14 09:30:00,sent_weekly_digest,1.0
17.0,2014-05-21 09:30:00,sent_weekly_digest,1.0
